School,PA_Score,P_Score,RC_Score,WUF_Score,Overall
Columbia Convt,100,60,80,60,76
Columbia Convt,30,50,65,0,42
Columbia Convt,80,60,75,70,72
Columbia Convt,50,40,75,40,56
Columbia Convt,100,70,75,70,78
Columbia Convt,70,60,80,50,68
Columbia Convt,80,50,75,90,74
Columbia Convt,90,60,75,60,72
Columbia Convt,80,60,75,30,64
Columbia Convt,40,50,55,40,48
Columbia Convt,90,100,85,80,88
Columbia Convt,60,70,85,30,66
Columbia Convt,100,100,85,70,88
Columbia Convt,100,100,85,70,88
Columbia Convt,100,70,85,50,78
Columbia Convt,100,100,75,70,84
Columbia Convt,100,90,85,70,86
Columbia Convt,100,80,80,70,82
Columbia Convt,90,90,80,70,82
Columbia Convt,100,40,85,70,76
Columbia Convt,100,50,70,90,76
Columbia Convt,90,60,65,60,68
Columbia Convt,80,80,75,60,74
Columbia Convt,100,70,75,80,80
Columbia Convt,30,70,60,20,48
Columbia Convt,60,70,70,60,66
Columbia Convt,100,70,65,80,76
Columbia Convt,90,70,70,60,72
Columbia Convt,90,70,75,80,78
Columbia Convt,100,70,70,80,78
