School,PA_Score,P_Score,RC_Score,WUF_Score,Overall
Cathedral College,100,100,65,100,86
Cathedral College,100,100,80,100,92
Cathedral College,100,100,65,100,86
Cathedral College,100,100,70,100,88
Cathedral College,100,100,70,100,88
Cathedral College,100,100,65,100,86
Cathedral College,100,100,70,100,88
Cathedral College,100,90,75,100,88
Cathedral College,100,80,65,100,82
Cathedral College,100,90,65,100,84
Cathedral College,100,100,75,100,90
Cathedral College,100,90,60,100,82
Cathedral College,100,100,85,100,94
Cathedral College,100,100,75,100,90
Cathedral College,100,100,85,100,94
Cathedral College,100,100,85,100,94
Cathedral College,100,100,90,100,96
Cathedral College,100,100,75,100,90
Cathedral College,100,100,85,100,94
Cathedral College,100,100,85,100,94
Cathedral College,100,90,85,100,92
Cathedral College,100,100,80,100,92
Cathedral College,100,10,55,100,64
Cathedral College,100,100,80,100,92
Cathedral College,100,80,70,100,84
Cathedral College,100,100,75,100,90
Cathedral College,100,90,85,100,92
Cathedral College,100,100,75,100,90
Cathedral College,100,100,75,100,90
Cathedral College,100,90,75,100,88
Cathedral College,100,100,85,100,94
Cathedral College,100,70,55,60,68
Cathedral College,100,100,50,100,80
Cathedral College,100,100,80,100,92
Cathedral College,100,100,55,100,82
Cathedral College,100,90,45,100,76
Cathedral College,100,100,55,100,82
Cathedral College,100,100,50,100,80
St. Mary School,100,60,50,30,58
St. Mary School,100,30,40,0,42
St. Mary School,50,0,80,20,46
St. Mary School,100,40,55,100,70
St. Mary School,0,0,10,0,4
St. Mary School,70,10,25,0,26
St. Mary School,100,70,55,20,60
Jacob High School,100,70,45,100,72
Jacob High School,100,80,55,100,78
Jacob High School,100,80,60,100,80
Jacob High School,100,100,60,100,84
Jacob High School,100,100,55,100,82
Jacob High School,100,100,30,100,72
Jacob High School,100,100,50,80,76
Jacob High School,100,100,55,100,82
Jacob High School,100,100,30,100,72
Jacob High School,100,100,60,100,84
Jacob High School,100,50,45,100,68
Jacob High School,100,100,50,100,80
Jacob High School,100,100,45,100,78
Jacob High School,100,90,45,100,76
Jacob High School,100,100,65,100,86
Jacob High School,100,100,80,100,92
Jacob High School,100,100,60,100,84
Jacob High School,100,100,60,100,84
Jacob High School,100,100,55,100,82
Jacob High School,100,90,60,100,82
Jacob High School,100,100,55,100,82
Jacob High School,100,100,45,100,78
Jacob High School,100,100,55,100,82
Jacob High School,100,100,55,100,82
Jacob High School,100,100,65,90,84
Jacob High School,100,80,35,100,70
Jacob High School,100,90,45,100,76
Jacob High School,100,100,50,100,80
Jacob High School,100,100,45,100,78
Jacob High School,100,100,50,100,80
Jacob High School,100,90,55,100,80
St. Stephens,100,100,90,100,96
St. Stephens,100,90,90,100,94
St. Stephens,100,90,90,100,94
St. Stephens,100,100,85,100,94
St. Stephens,100,100,80,100,92
St. Stephens,100,90,90,100,94
St. Stephens,100,100,80,100,92
St. Stephens,100,100,85,100,94
St. Stephens,100,100,75,100,90
St. Stephens,100,80,90,100,92
St. Stephens,100,100,75,100,90
St. Stephens,100,100,85,100,94
St. Stephens,100,100,85,100,94
St. Stephens,100,100,85,100,94
St. Stephens,100,100,85,100,94
St. Stephens,100,100,85,100,94
St. Stephens,100,100,85,100,94
St. Stephens,100,100,80,100,92
St. Stephens,100,90,85,100,92
St. Stephens,100,100,85,100,94
Saksham School,60,100,55,20,58
Saksham School,80,100,55,60,70
Saksham School,80,70,40,20,50
Saksham School,90,70,40,10,50
Saksham School,100,80,70,10,66
Teach For India,100,100,50,100,80
Teach For India,50,80,60,100,70
Teach For India,10,90,60,10,46
Teach For India,20,70,55,10,42
Teach For India,0,80,35,0,30
Teach For India,30,90,45,10,44
Teach For India,20,90,60,0,46
Teach For India,30,90,60,30,54
Teach For India,30,100,30,10,40
Teach For India,0,80,20,0,24
Teach For India,0,100,50,50,50
Teach For India,60,100,45,30,56
Teach For India,70,100,70,30,68
Teach For India,30,80,50,20,46
Teach For India,20,100,65,20,54
Teach For India,60,80,60,10,54
Teach For India,100,30,95,80,80
Teach For India,100,50,80,10,64
Teach For India,100,50,80,80,78
Teach For India,40,90,70,30,60
Teach For India,50,80,50,40,54
Teach For India,70,70,70,50,66
Teach For India,60,80,65,40,62
Teach For India,20,30,20,20,22
Teach For India,50,50,30,40,40
Teach For India,50,90,50,50,58
Teach For India,40,80,70,50,62
Teach For India,100,90,85,50,82
Teach For India,100,90,70,50,76
Teach For India,70,80,55,50,62
Teach For India,80,80,50,20,56
Teach For India,50,90,45,0,46
Teach For India,100,100,65,40,74
Teach For India,100,90,55,60,72
Teach For India,90,80,65,60,72
Teach For India,50,80,50,20,50
Teach For India,70,90,80,90,82
Teach For India,100,60,70,50,70
Teach For India,80,100,80,40,76
Teach For India,80,80,55,30,60
Teach For India,100,30,60,20,54
Teach For India,90,100,85,70,86
Teach For India,80,80,85,80,82
Teach For India,50,90,85,80,78
Teach For India,10,90,70,50,58
Teach For India,90,80,70,60,74
Teach For India,80,90,80,80,82
Teach For India,90,100,80,90,88
Teach For India,100,100,75,70,84
Teach For India,60,90,65,90,74
Teach For India,40,90,45,10,46
Teach For India,100,100,75,90,88
Teach For India,100,90,70,30,72
Teach For India,40,60,85,30,60
Teach For India,50,80,65,20,56
Teach For India,70,90,70,20,64
Teach For India,80,90,70,20,66
Teach For India,80,100,80,80,84
Teach For India,70,90,70,90,78
Teach For India,80,100,75,90,84
Teach For India,40,90,80,40,66
Teach For India,80,90,75,50,74
Teach For India,90,70,70,90,78
Teach For India,100,60,80,100,84
Teach For India,100,30,65,100,72
Teach For India,100,90,75,100,88
Teach For India,100,50,75,100,80
Teach For India,100,100,80,30,78
Teach For India,100,100,85,100,94
Teach For India,100,100,75,100,90
Teach For India,100,100,80,100,92
Teach For India,100,100,85,100,94
Teach For India,90,100,75,100,88
Teach For India,100,100,70,100,88
Teach For India,100,100,75,70,84
Teach For India,100,100,50,90,78
Teach For India,80,100,90,80,88
Teach For India,80,100,75,70,80
Teach For India,60,90,85,60,76
